Year,Month,Location,ReportedInstances
2019,January,Gateshead,509
2019,January,Newcastle,765
2019,January,North Tyneside,526
2019,January,Northumberland,505
2019,January,South Tyneside,383
2019,January,Sunderland,684
2019,January,Unspecified,0
2019,February,Gateshead,442
2019,February,Newcastle,681
2019,February,North Tyneside,433
2019,February,Northumberland,454
2019,February,South Tyneside,333
2019,February,Sunderland,653
2019,February,Unspecified,0
2019,March,Gateshead,449
2019,March,Newcastle,751
2019,March,North Tyneside,500
2019,March,Northumberland,499
2019,March,South Tyneside,441
2019,March,Sunderland,699
2019,March,Unspecified,0
2019,April,Gateshead,496
2019,April,Newcastle,707
2019,April,North Tyneside,432
2019,April,Northumberland,523
2019,April,South Tyneside,416
2019,April,Sunderland,712
2019,April,Unspecified,0
2019,May,Gateshead,530
2019,May,Newcastle,699
2019,May,North Tyneside,460
2019,May,Northumberland,567
2019,May,South Tyneside,395
2019,May,Sunderland,683
2019,May,Unspecified,0
2019,June,Gateshead,423
2019,June,Newcastle,719
2019,June,North Tyneside,476
2019,June,Northumberland,514
2019,June,South Tyneside,416
2019,June,Sunderland,650
2019,June,Unspecified,0
2019,July,Gateshead,502
2019,July,Newcastle,759
2019,July,North Tyneside,459
2019,July,Northumberland,562
2019,July,South Tyneside,462
2019,July,Sunderland,734
2019,July,Unspecified,0
2019,August,Gateshead,501
2019,August,Newcastle,728
2019,August,North Tyneside,473
2019,August,Northumberland,572
2019,August,South Tyneside,422
2019,August,Sunderland,735
2019,August,Unspecified,0
2019,September,Gateshead,475
2019,September,Newcastle,670
2019,September,North Tyneside,449
2019,September,Northumberland,493
2019,September,South Tyneside,369
2019,September,Sunderland,677
2019,September,Unspecified,0
2019,October,Gateshead,456
2019,October,Newcastle,572
2019,October,North Tyneside,462
2019,October,Northumberland,525
2019,October,South Tyneside,350
2019,October,Sunderland,699
2019,October,Unspecified,0
2019,November,Gateshead,485
2019,November,Newcastle,639
2019,November,North Tyneside,395
2019,November,Northumberland,526
2019,November,South Tyneside,416
2019,November,Sunderland,643
2019,November,Unspecified,0
2019,December,Gateshead,526
2019,December,Newcastle,726
2019,December,North Tyneside,469
2019,December,Northumberland,603
