Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby,Final,Semi-Final,Quarter-Final
2019/2020,11/07/2021,England,Italy,2,1,England,London,FALSE,TRUE,FALSE,FALSE
2019/2020,07/07/2021,England,Denmark,2,1,England,London,FALSE,FALSE,TRUE,FALSE
2019/2020,06/07/2021,Italy,Spain,2,1,Italy,London,FALSE,FALSE,TRUE,FALSE
2019/2020,03/07/2021,Ukraine,England,0,4,England,Rome,FALSE,FALSE,FALSE,TRUE
2019/2020,03/07/2021,Czech Republic,Denmark,1,2,Denmark,Baku,FALSE,FALSE,FALSE,TRUE
2019/2020,02/07/2021,Belgium,Italy,1,2,Italy,Munich,FALSE,FALSE,FALSE,TRUE
2019/2020,02/07/2021,Switzerland,Spain,1,2,Spain,Saint Petersburg,FALSE,FALSE,FALSE,TRUE
2019/2020,29/06/2021,Sweden,Ukraine,1,2,Ukraine,Glasgow,FALSE,FALSE,FALSE,FALSE
2019/2020,29/06/2021,England,Germany,2,0,England,London,FALSE,FALSE,FALSE,FALSE
2019/2020,28/06/2021,France,Switzerland,3,4,Switzerland,Bucharest,FALSE,FALSE,FALSE,FALSE
2019/2020,28/06/2021,Croatia,Spain,3,5,Spain,Copenhagen,FALSE,FALSE,FALSE,FALSE
2019/2020,27/08/2021,Belgium,Portugal,1,0,Belgium,Seville,FALSE,FALSE,FALSE,FALSE
2019/2020,27/08/2021,Netherlands,Czech Republic,0,2,Czech Republic,Budapest,FALSE,FALSE,FALSE,FALSE
2019/2020,26/06/2021,Italy,Austria,2,1,Italy,London,FALSE,FALSE,FALSE,FALSE
2019/2020,26/06/2021,Wales,Denmark,0,4,Denmark,Amsterdam,FALSE,FALSE,FALSE,FALSE
2019/2020,23/06/2021,Germany,Hungary,2,2,Draw,Munich,FALSE,FALSE,FALSE,FALSE
2019/2020,23/06/2021,Portugal,France,2,2,Draw,Budapest,FALSE,FALSE,FALSE,FALSE
2019/2020,23/06/2021,Slovakia,Spain,0,5,Spain,Seville,FALSE,FALSE,FALSE,FALSE
2019/2020,23/06/2021,Sweden,Poland,3,2,Sweden,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,22/06/2021,Croatia,Scotland,3,1,Croatia,Glasgow,FALSE,FALSE,FALSE,FALSE
2019/2020,22/06/2021,Czech Republic,England,0,1,England,London,FALSE,FALSE,FALSE,FALSE
2019/2020,21/06/2021,Finland,Belgium,0,2,Belgium,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,21/06/2021,Russia,Denmark,1,4,Denmark,Copenhagen,FALSE,FALSE,FALSE,FALSE
2019/2020,21/06/2021,North Macedonia,Netherlands,0,3,Netherlands,Amsterdam,FALSE,FALSE,FALSE,FALSE
2019/2020,21/06/2021,Ukraine,Austria,0,1,Austria,Bucharest,FALSE,FALSE,FALSE,FALSE
2019/2020,20/06/2021,Italy,Wales,1,0,Italy,Rome,FALSE,FALSE,FALSE,FALSE
2019/2020,20/06/2021,Switzerland,Turkey,3,1,Switzerland,Baku,FALSE,FALSE,FALSE,FALSE
2019/2020,19/06/2021,Spain,Poland,1,1,Draw,Seville,FALSE,FALSE,FALSE,FALSE
2019/2020,19/06/2021,Portugal,Germany,2,4,Germany,Munich,FALSE,FALSE,FALSE,FALSE
2019/2020,19/06/2021,Hungary,France,1,1,Draw,Budapest,FALSE,FALSE,FALSE,FALSE
2019/2020,18/06/2021,England,Scotland,0,0,Draw,London,FALSE,FALSE,FALSE,FALSE
2019/2020,18/06/2021,Croatia,Czech Republic,1,1,Draw,Glasgow,FALSE,FALSE,FALSE,FALSE
2019/2020,18/06/2021,Sweden,Slovakia,1,0,Sweden,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,17/06/2021,Netherlands,Austria,2,0,Netherlands,Amsterdam,FALSE,FALSE,FALSE,FALSE
2019/2020,17/06/2021,Denmark,Belgium,1,2,Belgium,Copenhagen,FALSE,FALSE,FALSE,FALSE
2019/2020,17/06/2021,Ukraine,North Macedonia,2,1,Ukraine,Bucharest,FALSE,FALSE,FALSE,FALSE
2019/2020,16/06/2021,Italy,Switzerland,3,0,Italy,Rome,FALSE,FALSE,FALSE,FALSE
2019/2020,16/06/2021,Turkey,Wales,0,2,Wales,Baku,FALSE,FALSE,FALSE,FALSE
2019/2020,16/06/2021,Finland,Russia,0,1,Russia,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,15/06/2021,France,Germany,1,0,France,Munich,FALSE,FALSE,FALSE,FALSE
2019/2020,15/06/2021,Hungary,Portugal,0,3,Portugal,Budapest,FALSE,FALSE,FALSE,FALSE
2019/2020,14/06/2021,Spain,Sweden,0,0,Draw,Seville,FALSE,FALSE,FALSE,FALSE
2019/2020,14/06/2021,Poland,Slovakia,1,2,Slovakia,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,14/06/2021,Scotland,Czech Republic,0,2,Czech Republic,Glasgow,FALSE,FALSE,FALSE,FALSE
2019/2020,13/06/2021,Netherlands,Ukraine,3,2,Netherlands,Amsterdam,FALSE,FALSE,FALSE,FALSE
2019/2020,13/06/2021,Austria,North Macedonia,3,1,Austria,Bucharest,FALSE,FALSE,FALSE,FALSE
2019/2020,13/06/2021,England,Croatia,1,0,England,London,FALSE,FALSE,FALSE,FALSE
2019/2020,12/06/2021,Belgium,Russia,3,0,Belgium,Saint Petersburg,FALSE,FALSE,FALSE,FALSE
2019/2020,12/06/2021,Denmark,Finland,0,1,Finland,Copenhagen,FALSE,FALSE,FALSE,FALSE
2019/2020,12/06/2021,Wales,Switzerland,1,1,Draw,Baku,FALSE,FALSE,FALSE,FALSE
2019/2020,11/06/2021,Italy,Turkey,0,3,Turkey,Rome,FALSE,FALSE,FALSE,FALSE
2023/2024,14/07/2024,Spain,England,2,1,Spain,Berlin,FALSE,TRUE,FALSE,FALSE
2023/2024,10/07/2024,Netherlands,England,1,2,England,Dortmund,FALSE,FALSE,TRUE,FALSE
2023/2024,09/07/2024,Spain,France,2,1,Spain,Munich,FALSE,FALSE,TRUE,FALSE
2023/2024,06/07/2024,Netherlands,Turkey,2,1,Netherlands,Berlin,FALSE,FALSE,FALSE,TRUE
2023/2024,06/07/2024,England,Switzerland,2,1,England,Dusseldorf,FALSE,FALSE,FALSE,TRUE
2023/2024,05/07/2024,Portugal,France,0,1,France,Hamburg,FALSE,FALSE,FALSE,TRUE
2023/2024,05/07/2024,Spain,Germany,2,1,Spain,Stuttgart,FALSE,FALSE,FALSE,TRUE
2023/2024,02/07/2024,Austria,Turkey,1,2,Turkey,Leipzig,FALSE,FALSE,FALSE,FALSE
2023/2024,02/07/2024,Romania,Netherlands,0,3,Netherlands,Munich,FALSE,FALSE,FALSE,FALSE
2023/2024,01/07/2024,Portugal,Slovenia,1,0,Portugal,Frankfurt,FALSE,FALSE,FALSE,FALSE
2023/2024,01/07/2024,France,Belgium,1,0,France,Dusseldorf,FALSE,FALSE,FALSE,FALSE
2023/2024,30/06/2024,Spain,Georgia,4,1,Spain,Cologne,FALSE,FALSE,FALSE,FALSE
2023/2024,30/06/2024,England,Slovakia,2,1,England,Gelsenkirchen,FALSE,FALSE,FALSE,FALSE
2023/2024,29/06/2024,Germany,Denmark,2,0,Germany,Dortmund,FALSE,FALSE,FALSE,FALSE
2023/2024,29/06/2024,Switzerland,Italy,2,0,Switzerland,Berlin,FALSE,FALSE,FALSE,FALSE
2023/2024,26/06/2024,Czech Republic,Turkey,1,2,Turkey,Hamburg,FALSE,FALSE,FALSE,FALSE
2023/2024,26/06/2024,Georgia,Portugal,2,0,Georgia,Gelsenkirchen,FALSE,FALSE,FALSE,FALSE
2023/2024,26/06/2024,Slovakia,Romania,1,1,Draw,Frankfurt,FALSE,FALSE,FALSE,FALSE
2023/2024,26/06/2024,Ukraine,Belgium,0,0,Draw,Stuttgart,FALSE,FALSE,FALSE,FALSE
2023/2024,25/06/2024,Denmark,Serbia,0,0,Draw,Munich,FALSE,FALSE,FALSE,FALSE
2023/2024,25/06/2024,England,Slovenia,0,0,Draw,Cologne,FALSE,FALSE,FALSE,FALSE
2023/2024,25/06/2024,France,Poland,1,1,Draw,Dortmund,FALSE,FALSE,FALSE,FALSE
2023/2024,25/06/2024,Netherlands,Austria,2,3,Austria,Berlin,FALSE,FALSE,FALSE,FALSE
2023/2024,24/06/2024,Albania,Spain,0,1,Spain,Dusseldorf,FALSE,FALSE,FALSE,FALSE
2023/2024,24/06/2024,Croatia,Italy,1,1,Draw,Leipzig,FALSE,FALSE,FALSE,FALSE
2023/2024,23/06/2024,Scotland,Hungary,0,1,Hungary,Stuttgart,FALSE,FALSE,FALSE,FALSE
