Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby
2018/2019,26/01/2019,Accrington,Derby,0,1,Derby,Accrington,FALSE
2018/2019,05/01/2019,Accrington,Ipswich,1,0,Accrington,Accrington,FALSE
2018/2019,10/11/2018,Accrington,Colchester,1,0,Accrington,Accrington,FALSE
2019/2020,11/09/2019,Accrington,Crewe,0,2,Crewe,Accrington,FALSE
2023/2024,14/11/2023,Accrington,Doncaster,1,2,Doncaster,Accrington,FALSE
2022/2023,24/01/2023,Accrington,Boreham Wood,1,0,Accrington,Accrington,FALSE
2018/2019,01/12/2018,Accrington,Cheltenham,3,1,Accrington,Accrington,FALSE
2022/2023,26/11/2022,Accrington,Barnet,1,0,Accrington,Accrington,FALSE
2022/2023,28/01/2023,Accrington,Leeds,1,3,Leeds,Accrington,FALSE
2022/2023,05/11/2022,AFC Fylde,Gillingham,1,1,Draw,Fylde,FALSE
2018/2019,26/01/2019,AFC Wimbledon,West Ham,4,2,AFC Wimbledon,London,FALSE
2018/2019,16/02/2019,AFC Wimbledon,Millwall,0,1,Millwall,London,FALSE
2019/2020,11/09/2019,AFC Wimbledon,Doncaster,1,1,Draw,London,FALSE
2021/2022,04/12/2021,AFC Wimbledon,Cheltenham,4,3,AFC Wimbledon,London,FALSE
2021/2022,06/11/2021,AFC Wimbledon,Guiseley,1,0,AFC Wimbledon,London,FALSE
2023/2024,04/11/2023,AFC Wimbledon,Cheltenham,5,1,AFC Wimbledon,London,FALSE
2023/2024,04/12/2023,AFC Wimbledon,Ramsgate,5,0,AFC Wimbledon,London,FALSE
2023/2024,06/01/2024,AFC Wimbledon,Ipswich,1,3,Ipswich,London,FALSE
2022/2023,15/11/2022,AFC Wimbledon,Weymouth,3,1,AFC Wimbledon,London,FALSE
2022/2023,26/11/2022,AFC Wimbledon,Chesterfield,0,2,Chesterfield,London,FALSE
2020/2021,29/11/2020,AFC Wimbledon,Crawley,1,2,Crawley,London,FALSE
2018/2019,10/11/2018,Aldershot,Bradford City,1,1,Draw,Aldershot,FALSE
2023/2024,03/12/2023,Aldershot,Stockport,2,2,Draw,Aldershot,FALSE
2018/2019,11/11/2018,Alfreton,Fleetwood,1,4,Fleetwood,Alfreton,FALSE
2023/2024,04/11/2023,Alfreton,Worthing,2,0,Alfreton,Alfreton,FALSE
2023/2024,05/12/2023,Alfreton,Walsall,0,0,Draw,Alfreton,FALSE
2021/2022,16/11/2021,Altrincham,Gateshead,2,3,Gateshead,Manchester,FALSE
2019/2020,01/06/2020,Arsenal,Leeds,1,0,Arsenal,London,FALSE
2019/2020,7/18/2020,Arsenal,Man City,2,0,Arsenal,London,FALSE
