Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby,Final,Semi-Final,Quarter-Final
2018,15/07/2018,France,Croatia,4,2,France,France,FALSE,TRUE,FALSE,FALSE
2018,14/07/2018,Belgium,England,2,0,Belgium,Belgium,FALSE,FALSE,FALSE,FALSE
2018,11/07/2018,Croatia,England,2,1,Croatia,Croatia,FALSE,FALSE,TRUE,FALSE
2018,10/07/2018,France,Belgium,1,0,France,France,FALSE,FALSE,TRUE,FALSE
2018,07/07/2018,Russia,Croatia,2,3,Russia,Croatia,FALSE,FALSE,FALSE,TRUE
2018,07/07/2018,Sweden,England,0,2,Sweden,England,FALSE,FALSE,FALSE,TRUE
2018,06/07/2018,Brazil,Belgium,1,2,Brazil,Belgium,FALSE,FALSE,FALSE,TRUE
2018,06/07/2018,Uruguay,France,0,2,Uruguay,France,FALSE,FALSE,FALSE,TRUE
2018,03/07/2018,Colombia,England,1,2,Colombia,England,FALSE,FALSE,FALSE,FALSE
2018,03/07/2018,Sweden,Switzerland,1,0,Sweden,Sweden,FALSE,FALSE,FALSE,FALSE
2018,02/07/2018,Belgium,Japan,3,2,Belgium,Belgium,FALSE,FALSE,FALSE,FALSE
2018,02/07/2018,Brazil,Mexico,2,0,Brazil,Brazil,FALSE,FALSE,FALSE,FALSE
2018,01/07/2018,Croatia,Denmark,2,1,Croatia,Croatia,FALSE,FALSE,FALSE,FALSE
2018,01/07/2018,Spain,Russia,1,2,Spain,Russia,FALSE,FALSE,FALSE,FALSE
2018,30/06/2018,Uruguay,Portugal,2,1,Uruguay,Uruguay,FALSE,FALSE,FALSE,FALSE
2018,30/06/2018,France,Argentina,4,3,France,France,FALSE,FALSE,FALSE,FALSE
2018,28/06/2018,England,Belgium,0,1,England,Belgium,FALSE,FALSE,FALSE,FALSE
2018,28/06/2018,Panama,Tunisia,1,2,Panama,Tunisia,FALSE,FALSE,FALSE,FALSE
2018,28/06/2018,Japan,Poland,0,1,Japan,Poland,FALSE,FALSE,FALSE,FALSE
2018,28/06/2018,Senegal,Colombia,0,1,Senegal,Colombia,FALSE,FALSE,FALSE,FALSE
2018,27/06/2018,Serbia,Brazil,0,2,Serbia,Brazil,FALSE,FALSE,FALSE,FALSE
2018,27/06/2018,Switzerland,Costa Rica,2,2,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2018,27/06/2018,Mexico,Sweden,0,3,Mexico,Sweden,FALSE,FALSE,FALSE,FALSE
2018,27/06/2018,South Korea,Germany,2,0,South Korea,South Korea,FALSE,FALSE,FALSE,FALSE
